Traveling Direction,Stops Code,Stops Name in Chinese,Stops Name
Westbound,SKT,筲箕灣總站,Shau Kei Wan Terminus
Westbound,02W,柴灣道,Chai Wan Road
Westbound,04W,新成街,Sun Sing Street
Westbound,06W,海富街,Hoi Foo Street
Westbound,08W,聖十字徑,Holy Cross Path
Westbound,10W,太康街,Tai Hong Street
Westbound,12W,太古城道,Tai Koo Shing Road
Westbound,14W,康山,Kornhill
Westbound,16W,船塢里,Shipyard Lane
Westbound,18W,柏架山道,Mount Parker Road
Westbound,20W,芬尼街,Finnie Street
Westbound,22W,渣華道,Java Road
Westbound,24W,健康東街,Healthy Street East
Westbound,26W,健康西街,Healthy Street West
Westbound,28W,電照街,Tin Chiu Street
Westbound,30W,書局街,Shu Kuk Street
Westbound,NPT,北角總站,North Point Terminus
Westbound,32W,北角道,North Point Road
Westbound,34W,炮台山,Fortress Hill
Westbound,36W,木星街,Jupiter Street
Westbound,38W,琉璃街,Lau Li Street
Westbound,40W,留仙街,Lau Sin Street
Westbound,42W,維多利亞公園,Victoria Park
Westbound,44W,信德街,Shelter Street
Westbound,CBT,銅鑼灣總站,Causeway Bay Terminus
Westbound,46W,邊寧頓街,Pennington Street
Westbound,48W,百德新街,Paterson Street
Westbound,105,富明街,Foo Ming Street
Westbound,106,禮頓道,Leighton Road
Westbound,107,樂活道,Broadwood Road
Westbound,108,黃泥涌道,Wong Nai Chung Road
Westbound,HVT_K,跑馬地總站,Happy Valley Terminus
Westbound,109,天主教墳場,Colonial Cemetery
Westbound,110,皇后大道東,Queen's Road East
Westbound,111,摩利臣山道,Morrison Hill Road
Westbound,112,天樂里,Tin Lok Lane
Westbound,50W,堅拿道西,Canal Road West
Westbound,52W,杜老誌道,Tonnochy Road
Westbound,54W,巴路士街,Burrows Street
Westbound,56W,柯布連道,O'Brien Road
Westbound,58W,汕頭街,Swatow Street
Westbound,60W,機利臣街,Gresson Street
Westbound,62W,軍器廠街,Arsenal Street
Westbound,64W,金鐘港鐵站,Admiralty MTR Station
Westbound,66W,紅棉道,Cotton Tree Drive
Westbound,68W,銀行街,Bank Street
Westbound,70W,畢打街,Pedder Street
Westbound,72W,砵甸乍街,Pottinger Street
Westbound,74W,機利文街,Gilman Street
Westbound,76W,文華里,Man Wah Lane
Westbound,WM,上環 (西港城) 總站,Western Market Terminus
Westbound,78W,港澳碼頭,Macau Ferry Terminal
Westbound,80W,干諾道西,Connaught Road West
Westbound,82W,修打蘭街,Sutherland Street
Westbound,84W,東邊街,Eastern Street
Westbound,86W,西邊街,Western Street
Westbound,88W,水街,Water Street
Westbound,90W,屈地街,Whitty Street
Westbound,92W,山道,Hill Road
Westbound,94W,屈地街電車廠,Whitty Street Depot
Westbound,96W,皇后大道西,Queen's Road West
Westbound,98W,堅尼地城海傍,Kennedy Town Praya
Westbound,100W,山市街,Sands Street
Westbound,102W,士美菲路,Smithfield
Westbound,104W,爹核士街,Davis Street
Eastbound,101E,柴灣道,Chai Wan Road
Eastbound,99E,南康街,Nam Hong Street
